sigla1,sigla2
RR,AM
RR,PA
AC,AM
AP,PA
RO,AM
RO,MT
PA,AM
PA,MA
PA,MT
PA,TO
BA,ES
BA,SE
BA,AL
BA,PE
BA,PI
BA,TO
BA,GO
BA,MG
SE,BA
SE,AL
AL,SE
AL,PE
AL,BA
PE,BA
PE,AL
PE,PB
PE,CE
PE,PI
PB,RN
PB,PE
PB,CE
RN,PB
RN,CE
MA,PI
MA,TO
MA,PA
PI,CE
PI,PE
PI,BA
CE,PI
CE,PE
CE,PB
CE,RN
RS,SC
SC,PR
PR,MS
PR,SP
MG,BA
MG,ES
MG,RJ
MG,SP
MG,GO
SP,RJ
SP,MG
SP,MS
SP,PA
RJ,ES
RJ,MG
RJ,SP
ES,MG
ES,RJ
ES,BA
MT,AM
MT,PA
MT,MS
MT,RO
MT,TO
MT,GO
GO,MT
GO,MS
GO,TO
GO,MG
GO,BA
GO,DF
MS,MT
MS,GO
MS,MG
MS,SP
MS,PA
DF,GO
DF,MG
